Label,Input,S1_MeanAccelMag,S1_StdAccelMag,S1_MeanGyroMag,S1_StdGyroMag,S1_MeanVelMag,S1_StdVelMag,S2_MeanAccelMag,S2_StdAccelMag,S2_MeanGyroMag,S2_StdGyroMag,S2_MeanVelMag,S2_StdVelMag,S3_MeanAccelMag,S3_StdAccelMag,S3_MeanGyroMag,S3_StdGyroMag,S3_MeanVelMag,S3_StdVelMag,S4_MeanAccelMag,S4_StdAccelMag,S4_MeanGyroMag,S4_StdGyroMag,S4_MeanVelMag,S4_StdVelMag,S5_MeanAccelMag,S5_StdAccelMag,S5_MeanGyroMag,S5_StdGyroMag,S5_MeanVelMag,S5_StdVelMag
A,1,1706.6423952662062,772.007923974894,2743.027316993745,1213.4610678658362,607.0532496594274,330.2249830009309,3179.8172027612354,2750.666656834978,3212.037055384944,2270.981743615306,1320.6490912624574,516.9227829277451,2977.412228569895,2109.427510288621,2845.52530704539,2363.6925975503323,1227.4838693282672,547.1058640251867,2774.704575112294,1937.169073893888,3927.7835725907767,3079.139239606749,1087.8520465679985,478.8317169455223,1173.870362552535,594.032719570884,1178.2301288521237,785.5164390164649,404.3019923416119,200.8273171374448
A,2,2291.1093962837617,1307.0161568474416,2224.411557162068,1629.883548175705,763.7605068332657,490.0077406003144,2583.945071405568,1615.718994119607,2609.163245618456,2480.788225587538,845.2910629249122,558.208688859865,2879.4433805681847,1817.1647746151325,3142.2424264669294,3178.0458474212146,984.2818295944868,626.7372206109039,2751.081401340446,1955.7985896299967,3589.7459348924253,3230.7603397533694,985.548475923034,566.254027798383,1055.6712444647233,678.0462547719753,869.3248264939716,632.9859564328631,347.89128624060504,221.00647297010696
A,3,2150.932284770164,1312.9964989798725,2431.1543749731527,1327.866439085234,735.5412548556399,474.1670542884253,3001.246972093126,1956.424829248965,3020.326139584374,1881.5259958457527,1053.7255400520144,660.9888735637836,3532.47669494044,2431.967392812385,2981.24571287333,1800.268894700009,1250.072297931446,766.0079331951342,2736.995855394769,1844.1325027101109,3092.7735983234097,2478.3288915141325,974.320277364684,595.9671310118212,1231.283926958848,706.4084450321911,887.6147069609614,441.034764204146,411.8382551199966,247.929869713378
A,4,2139.154382780486,1730.9013624788213,2401.491821299963,1773.5804185261482,698.0583397961758,480.6561656411236,3196.12221866227,2224.085152005959,2978.37419949537,2743.623841569816,1091.3554579213385,691.0039594468024,3362.86888097428,2628.232369744881,3705.730525555189,3197.680974662492,1140.5657446176112,754.3304290916199,3098.471913450316,2373.476100903385,3261.0514150124554,2672.17207644741,987.3575880070056,697.7351580011511,942.0172629267388,546.3913216258247,764.3361220893378,328.6426801549562,293.23617811275307,191.92662941375696
A,5,2038.845230340533,1192.6816954735475,2580.571093298644,1970.4680014989945,680.6621544244289,441.2326649105517,2827.751854778682,1766.323285187544,3290.260999023101,2401.7058967653606,995.9454373684304,613.3292988866024,3381.3686197427096,2341.2122410023576,3832.875595640725,3319.8023208606505,1232.2658541610742,747.9893448619652,2899.215130107801,2311.292523536129,3087.792301536805,2673.422277029957,1004.1113078427936,669.1028218503448,1102.0395703849572,631.1626456831382,895.521959811113,428.78120964667215,356.72111270318163,222.63933312640503
A,6,2197.194550800885,1194.491777255456,2483.178862550756,2488.947208225022,787.1153089185676,440.6686140011569,2843.489826353387,1782.1063681567348,3091.14501568278,3362.7961985926995,1036.8883862594305,594.8945910817906,2742.586127830939,1670.0156680191046,3240.918568290376,3397.7744125693007,1000.8749660393164,571.3638941670915,2696.414664672581,2058.6782060678283,3613.546201743246,2936.868661579364,1050.6739690562645,565.7001999004762,1019.0998404009902,654.6991792378211,941.3470082004932,412.8888290472155,349.26487945539213,213.93579574952523
A,7,2135.426184766952,1237.7661368011566,3106.1648898524218,2277.3121606508166,666.8728256561085,461.0273656781408,3082.457787715012,1718.3509498804603,3491.5169465236618,1947.9495885772003,1100.7464378639752,630.6461015881325,4095.886658339328,3352.2959269786875,3170.213833753828,1904.875938749256,1565.4507556504782,844.8324364668141,3698.5828251865046,3293.919790346361,3453.036481457135,2821.145311788482,1421.4224010879775,777.3011700675736,1311.521047732568,708.7609197426636,1220.6269809203775,689.0579336668316,451.7705097823524,269.4147823428293
A,8,2171.6151722588256,1596.2961954522318,2679.8046180899933,1916.4546913150712,819.2752829995288,468.51194016743744,3186.061594499723,2265.276145650654,3512.933230484897,2597.232329693465,1174.964092044811,676.8984800138767,3715.858799202616,2900.7890106639074,3252.364094674258,3225.0897248252945,1345.4342031058864,837.4974026823963,3639.435138895687,2677.919410619247,3470.544047556009,3121.204752611329,1283.886307210289,807.4933314121383,1150.036783346491,833.3696040473617,1081.314903923177,544.9445359883982,364.9041723046803,246.75746102496385
A,9,2558.0958299819267,1614.9331950978888,2828.25881568008,3187.4132306272923,875.3622830728735,553.5817292812815,4066.917600804221,3027.052894858107,3297.6627041896845,3160.4700256680776,1511.6808491604902,894.6591900326025,3912.365558864044,2629.4111001922915,3189.0459777144265,2728.7496510807728,1424.2154063266537,832.3563327833953,3637.24639047837,2596.9921437986804,3773.105395360655,2726.724498001277,1370.5405469311772,787.0697732018149,1338.2355733531303,748.173141867722,1127.62925801969,872.6717812029693,404.30511248023134,266.69760173077583
A,10,2216.1440061185403,1945.2343674079136,2920.256855449492,2909.577727858502,799.409708334206,502.6745321601566,3552.6867247617206,3205.027306545428,3388.002246308504,3164.493802965734,1390.696630337388,815.2522613629345,3097.8554366472235,2496.387729026731,3709.329020553707,3136.459697816644,1183.656047567733,686.1872537166486,2695.0937444881306,2207.6948857169887,3377.6576236748724,3120.520686076446,1037.6819494868034,584.9285783560069,1402.5406223694197,786.4018073501622,1175.3049667957248,711.6650265576499,462.2238128563461,287.1054767061594
