Letter,Input,S1_MeanAccelMag,S1_StdAccelMag,S1_MeanGyroMag,S1_StdGyroMag,S1_MeanVelMag,S1_StdVelMag,S2_MeanAccelMag,S2_StdAccelMag,S2_MeanGyroMag,S2_StdGyroMag,S2_MeanVelMag,S2_StdVelMag,S3_MeanAccelMag,S3_StdAccelMag,S3_MeanGyroMag,S3_StdGyroMag,S3_MeanVelMag,S3_StdVelMag,S4_MeanAccelMag,S4_StdAccelMag,S4_MeanGyroMag,S4_StdGyroMag,S4_MeanVelMag,S4_StdVelMag,S5_MeanAccelMag,S5_StdAccelMag,S5_MeanGyroMag,S5_StdGyroMag,S5_MeanVelMag,S5_StdVelMag
C,6,3114.4809441166403,3309.4607489339287,2944.6057133292434,2143.8402690682847,1439.160325202496,509.6619220296235,3309.311168681759,2715.1199952926886,3167.9724696094368,2655.9610832138874,1447.4047158589383,535.5328579343516,3297.971741140802,1739.7911928265148,3439.045751413508,2803.732073225739,1264.5667721134564,637.8880813900192,3349.719774209181,2282.4606095773024,3162.8598000754737,2479.060251146901,1423.9651434196892,604.748739088984,2437.906490894059,1339.9104229972297,3354.7059508014827,2573.7913575904163,937.0721711344279,479.08449934732255
C,7,3526.1114598069735,2702.30984030661,3819.287228119762,2381.4658118207926,1146.787123666486,767.5737732090255,3919.262089737124,3601.910766794396,4149.0381998432595,3085.10368302127,1303.741562035078,861.9732399740559,3701.9827738453073,2334.3589145957403,3919.026412641601,3271.4063932072863,1249.7644984652416,792.3256653559894,3216.8689188836893,1410.659547417478,3769.2680629232527,2755.1679431255716,1026.4816298675385,660.9840245415404,3669.5479283595214,3506.4519106173907,3686.454097693622,2611.816943833909,1219.6344807743933,772.0487274902522
C,8,2033.1211804678253,1801.8419091399549,2999.0308492471927,2127.4929486401743,749.9867397270971,466.09412116964444,3199.8368612869035,2658.5609944384532,3294.064693608908,2329.535894082607,1084.8146210803898,717.7617223806757,3519.8112319401093,2709.2421249324043,3407.290407913587,2049.00948964129,1158.4304177332372,743.7701821626666,2140.1853232148565,1075.7352287137016,3965.4489790612315,3075.8521970686816,714.9957706899419,426.8827197454713,4397.929793812992,3424.3536658312637,5325.447945128084,3920.7739744508444,1576.0441778604754,966.2602967993188
C,9,3215.1196422529,2082.1316447332492,3596.13523001564,2840.516645557698,1152.4829195876837,709.3856763678673,3978.959101704774,2940.7758273898976,3935.9217141438116,3210.526146152876,1439.0302246808387,873.8403876535087,4035.160362640069,2617.7004885544998,3744.750439235388,2611.8131975882898,1409.5939085357795,885.0530950921658,3374.325383736215,2139.257746199238,3640.3947025527723,2377.187282982919,1085.5842934084642,748.7756318307288,3027.8028107638283,1904.5413198801075,3956.0110941954176,2851.9678410446313,1027.50922726804,645.3309944539304
C,10,2666.2167220950914,1500.1651211851668,3262.4676823022883,2274.561550482451,994.8664522042293,511.60830121439693,3646.824728571316,1994.199312777122,3362.6039547314294,1971.7531744933365,1467.144810760044,700.4195485470244,3269.5752968980623,2442.785372871294,3352.2601652494077,2164.8055130847233,1135.0511648059469,708.0677133291407,3015.2909514304743,1924.4330277308964,2933.2831057474473,1638.4797840640606,1074.193470711088,621.9151042801931,3789.967125352296,2002.1239194287791,4686.312978283337,3564.6716820519623,1402.7725594199928,774.402883303226
C,11,2280.3236621553006,1510.9852731958174,2646.200445923222,1364.6587645802676,879.3673631876042,467.37581263016114,2774.2656755568432,2371.0254029485077,3278.2222023526074,1879.9673629487359,1101.4814376355516,557.1279884697985,3127.7972262278645,2110.4333705666418,3495.248081880251,2620.308862255064,1131.9362924180737,642.8937946862567,2427.715113938973,1358.0732033113238,2753.472335972825,1409.4517999145467,792.9817821351598,498.32532916659926,3422.909707560444,2689.7845887521325,3614.6148339801684,1625.6275928762159,1367.9612292187123,556.4320596049025
C,12,3265.869781712457,2056.8765322443223,3562.3413776407606,1818.5200292129114,1206.700443301123,698.6550146269142,4705.725051992054,3799.1380252702556,3626.046472800096,1567.8260154092302,1639.971717461396,1068.6001979257644,4567.235082601278,2948.519153788236,4083.309474079362,3212.8347279145446,1566.8398356941937,988.1056549904482,3676.676200529454,1685.6082333864829,3788.0766408237796,2229.29238089023,1292.4976018820767,733.360480594649,2949.8640772204035,1581.4814023328313,4134.293866030887,3030.391081081678,1023.5848558439278,613.3160104103192
C,13,2943.900516189902,2737.616527342138,3312.0369086018445,1799.1004307178453,1149.503140194874,610.4160675243206,3610.6771630682333,2873.767635717532,3795.644143491293,2187.6399394622163,1288.070723195102,746.5897984513932,3690.054617753336,2555.004093538263,3745.7414275843657,2513.3605432126606,1284.9064599846715,800.1676378006416,3389.3951145269134,2603.963470869185,3410.2690427305197,2605.606184258064,1204.0696671361748,712.0472103427649,3945.7435695874674,2087.7846352196275,4936.841617584296,3594.5507889217088,1286.154417646469,790.8535728487312
C,14,2968.26525180405,2160.652654855158,3284.821454471933,2089.7735477775796,1069.1731348200974,624.6351450651031,3514.0506609020895,2577.4309792142994,3309.546569553858,1772.1511127593749,1292.9447768642958,777.9911948662638,3196.282454663983,2781.142565566746,3005.963798021432,1543.6679091483916,1070.445155904964,694.5094374289861,2968.995358200326,2469.8593204846543,2956.966819154097,1727.0745439678344,957.8626231056912,672.4039279938671,2888.9070016747755,1905.3766912803505,4516.040577884522,2609.277947086211,929.7472995809644,635.2984350705699
C,15,2198.779895724707,1899.0891159071095,2835.4643848988594,1259.223286184834,793.5838456591814,497.9438726364104,3058.324822788509,2306.48298894998,3514.190047882797,2076.0515771799855,1024.4306359377365,655.166432068579,3781.777499852963,2330.823768886415,3653.8918381060657,2752.74711614087,1124.8330233695826,751.2840288037307,3845.693247100771,2097.4340154587767,4180.371339556625,2217.1925225752398,1214.938732981002,731.5248381605771,3458.351760329831,2564.8269145935674,4687.11629136695,4061.394753031591,1094.994471798274,724.4216886606478
C,16,2275.6900360498284,1162.6282122086707,2940.5874873971206,1813.2032456990278,865.6810749967483,423.32684546477725,3742.9621826604844,2777.6093316327742,3512.195638320374,2099.1806328692487,1504.5524784540316,659.2805917065918,4220.266474623784,2485.371679078711,2996.4827765051796,1608.9206304562722,1703.608044257917,743.906108340812,3050.4620414971773,1711.2448198270388,2816.3659917151735,1410.7810915270336,1210.9182623761753,545.1391808924946,3635.2169383330533,2044.628404198783,4008.090021334337,2304.7501165267595,1364.3776753411305,698.1526831787945
