Letter,Input,S1_MeanAccelMag,S1_StdAccelMag,S1_MeanGyroMag,S1_StdGyroMag,S1_MeanVelMag,S1_StdVelMag,S2_MeanAccelMag,S2_StdAccelMag,S2_MeanGyroMag,S2_StdGyroMag,S2_MeanVelMag,S2_StdVelMag,S3_MeanAccelMag,S3_StdAccelMag,S3_MeanGyroMag,S3_StdGyroMag,S3_MeanVelMag,S3_StdVelMag,S4_MeanAccelMag,S4_StdAccelMag,S4_MeanGyroMag,S4_StdGyroMag,S4_MeanVelMag,S4_StdVelMag,S5_MeanAccelMag,S5_StdAccelMag,S5_MeanGyroMag,S5_StdGyroMag,S5_MeanVelMag,S5_StdVelMag
E,10,1798.5749668207964,1399.6887470882843,2289.887161743366,1373.8828548980844,690.7744523527078,373.1137312294404,2877.1161332525962,3047.5036104617875,2903.929062386415,2147.42470051398,1217.4307114751196,515.3931979536716,2471.4663734071805,2204.608233931271,3054.270645562822,2548.1925969504855,962.3975439021008,551.65419686107,1943.7909102310819,1308.1090922790124,3448.7125119218986,3037.2010311902877,699.9294666399114,408.9046612625808,2704.379420656599,2501.7907484697994,5033.145481163579,5039.575580760016,1044.9773471244528,545.1590640204055
E,11,1486.6273905110324,941.1832987162268,1978.1488302171726,1420.457756063316,513.8760198367502,324.3723816828885,3112.429402785351,3724.8668718059207,3561.3827999331206,5532.66861659819,1111.0056405811567,725.7944075648232,2552.4119280096784,1707.0916348438702,2754.610198847569,2260.318512379385,909.0342403346833,550.2280415278476,2764.5813447165992,2311.428560099784,2671.7776404697474,1972.990953447559,1068.4405749520593,591.136254534755,3349.140919762931,3224.0855447040335,3941.9886370740087,3797.9346143896946,1381.3895422298874,688.6766310496749
E,12,2228.3773383491853,1820.682409958365,2615.0826066556056,1682.7436741427148,858.5084484022854,498.5985795546257,3231.1786267233897,4573.195839039255,4508.070054100577,5912.881703837108,1493.8205748464084,587.6977566926704,2561.750917750366,1751.485294087609,3161.335537303904,2952.6177731513844,981.762348095413,539.8281521360764,2816.669428434073,2176.0417806018513,2781.2095757853235,1970.3589969368581,1087.0311900033084,595.791922873884,2906.083851761239,2598.3062072305024,4556.7556082092815,4774.309578572933,1241.4338493052053,571.0854796638503
E,13,1801.0845640068248,1026.7374997029892,2470.149953115383,2109.576043693157,596.4039866694445,372.4327368165812,2206.4203698670826,1202.7826700761896,2429.205662888526,2022.7693973585615,748.8620806969609,468.9239852918227,2495.056342939154,1684.5589468935473,2634.2239768299664,2159.016893436482,919.8333608469536,546.4256575374003,1930.3681662968797,1208.3276635696225,2795.7712662012764,2179.6761934593196,699.6129538488651,415.3717952887619,2738.8729355141577,3000.0401735823575,5012.69657801659,4505.811530456058,1100.4091704957373,555.750983492831
E,14,1660.4659628744357,1243.7800392896938,2085.8101343490944,1834.8040824422135,559.6629306402548,348.65824615025844,2113.4493344511807,1516.0880286803474,2545.480376372996,1984.7899204953635,762.829297601513,431.7361742310685,3014.6946609584566,2614.243504570409,3833.5377613596966,3409.64738568804,1180.8200883865102,649.0030812231281,2599.1813611817265,2062.5426666339554,2539.459147033015,1494.2075731973625,994.7951486904655,572.4858473199469,2694.9262822120777,2004.0195441767999,5392.254868854045,4336.112950912355,1045.553331990827,571.1021931600663
E,15,1580.54309111351,978.9806112142114,1908.4929348468409,1580.1121198793746,551.8354415879339,334.4841011636713,1892.6172018437876,1097.272813517674,2434.4610916976326,2358.5007829149367,714.1080614463198,395.22273253015834,2482.825692864422,1772.245208443883,2912.9694189025204,2571.431223956556,926.2944709727403,528.0116934719545,2465.8762834802337,1681.096711843108,2652.725410385372,2355.2493678155947,921.5703614903065,514.0767187963936,1901.5920637638997,1743.1038761445495,3538.6237262679406,3562.5941608810276,729.963174696253,410.141762260716
E,16,1824.5670452729285,1303.4661857156157,2573.705413813883,2145.4021343107474,655.4599778220014,374.16523235346784,2950.066731598925,3097.1840886704226,2885.5563293216765,2985.538416946198,1227.066311552557,514.2828299723753,2947.5540749881584,2243.7825150893527,2689.2927004933904,3934.225462505036,1079.3282836490228,639.6716308762587,2482.1037263108274,2024.7945801571839,2998.3151134412733,3975.494620862874,939.3491559237025,550.3155617336517,3027.9180624527476,4755.98719584824,4254.436847455358,6038.524474552051,1260.8620187978104,629.2349985546688
E,17,1431.295279413111,934.4181735870425,2157.549864143944,1223.4790261718626,487.1962642606625,308.3507373147448,1838.913866702271,1187.4943329759947,2588.264924837982,1723.101017454704,648.1838075155407,397.47963626793404,2259.9622779494657,1489.1516048560877,2548.3076302236514,1720.8820693888108,806.1191701460214,495.4231280032006,2219.8359379238445,1616.2250489030807,2950.156809826375,2183.6418155652414,789.1686563331136,490.3559406024854,2930.278204958818,3314.9950439696477,4476.068569360003,4329.9348623723545,1256.3746287503348,601.6945134332798
E,18,1530.360519245476,988.6183192388847,2041.4630308728551,1262.8940374510507,539.8034969895839,320.50327331592166,1823.7906183620848,1219.034774062842,2610.960901757475,3085.9658355600423,666.6888249851406,366.56028999986773,1940.00591100378,1379.8340716442658,2847.284853821924,2866.5412126282545,731.1170212823806,411.23887586509784,2110.819423900336,1748.9617948042926,2490.9551103223666,2731.833652898523,853.8492420277938,429.48898688399936,2217.0395873817615,2596.5140993228033,4517.545769511418,4752.127628927857,908.0917106848287,419.77208805718305
E,19,1512.6237479971414,924.4557301434617,2197.7826652743943,1508.6692438932328,552.2070628137565,325.6331885049189,2084.496990411368,1410.9177144560729,2556.9010593146604,2206.6350523196097,799.7881734180016,452.562856367056,2211.371300765186,1529.0297479617884,2807.7520392577385,3528.538487964104,842.6366103151502,471.6595943310437,2270.1021732600148,1123.6888461492163,2575.7339747539804,2613.6428703627553,827.9599563669085,459.1072405253437,2466.6777394307705,2617.3028922531503,3877.4865623332153,3818.488267158267,1024.0073195661707,493.1537858899527
E,20,1592.789526381856,1020.7536552216033,1983.4481179934437,1208.0814467486314,540.8909378465855,336.3348617496346,2060.0388758642166,1048.4723791917907,2596.958381231053,1937.2798448865847,749.7827121353034,410.0867821795729,2788.1526877824995,1850.0725903626656,2640.2612357413755,2142.5003458672822,1079.6781945316663,566.4283267369536,2393.9289284203496,1599.1564293940085,2749.7895343308137,2073.53812615894,926.0364444741422,494.9023043292366,2761.155655969417,1999.785474371714,3857.376483857385,3623.392627156769,1144.8306165177703,498.12248389162295
